date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-03-01 00:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-4,-2,1,-2,14,0,70,0.0,1027,1,10,45,9,Nyon
2022-03-01 01:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-4,-2,1,-2,13,0,71,0.0,1027,1,10,46,9,Nyon
2022-03-01 02:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-4,-2,1,-2,13,0,72,0.0,1027,1,10,48,9,Nyon
2022-03-01 03:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-4,-2,1,-2,12,0,73,0.0,1027,1,10,49,8,Nyon
2022-03-01 04:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-6,-4,-1,-4,12,0,73,0.0,1027,-1,10,48,7,Nyon
2022-03-01 05:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-7,-6,-3,-6,12,0,73,0.0,1027,-3,10,48,7,Nyon
2022-03-01 06:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-9,-8,-5,-8,12,0,73,0.0,1027,-5,10,47,6,Nyon
2022-03-01 07:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-9,-7,-4,-7,12,0,69,0.0,1027,-4,10,54,6,Nyon
2022-03-01 08:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-9,-5,-3,-5,12,0,65,0.0,1027,-3,10,61,6,Nyon
2022-03-01 09:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-8,-4,-2,-4,12,0,61,0.0,1027,-2,10,68,6,Nyon
2022-03-01 10:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-6,1,2,1,9,1,55,0.0,1026,2,10,73,6,Nyon
2022-03-01 11:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-4,5,6,5,7,1,50,0.0,1026,6,10,77,5,Nyon
2022-03-01 12:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-2,10,10,10,5,2,44,0.0,1025,10,10,81,4,Nyon
2022-03-01 13:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-2,10,10,10,5,6,45,0.0,1025,10,10,94,4,Nyon
2022-03-01 14:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-1,10,10,10,4,11,45,0.0,1024,10,10,108,4,Nyon
2022-03-01 15:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-1,10,10,10,4,15,46,0.0,1024,10,10,122,4,Nyon
2022-03-01 16:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-1,8,8,8,3,42,55,0.0,1025,8,10,130,3,Nyon
2022-03-01 17:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-0,6,6,6,3,68,64,0.0,1025,6,10,139,2,Nyon
2022-03-01 18:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,0,5,5,5,2,94,73,0.0,1026,5,10,147,1,Nyon
2022-03-01 19:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-0,4,4,4,2,74,74,0.0,1026,4,10,162,1,Nyon
2022-03-01 20:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-1,3,3,3,2,53,75,0.0,1027,3,10,178,1,Nyon
2022-03-01 21:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-1,3,3,3,2,33,77,0.0,1028,3,10,193,1,Nyon
2022-03-01 22:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-1,2,2,2,2,29,77,0.0,1028,2,10,159,1,Nyon
2022-03-01 23:00:00,10,-5,0.0,10.1,2,11,08:06 AM,05:44 PM,08:14 AM,07:21 PM,-2,2,2,2,2,25,77,0.0,1028,2,10,124,1,Nyon
2022-03-02 00:00:00,9,-4,0.0,8.6,2,4,08:34 AM,07:03 PM,08:13 AM,07:23 PM,-2,2,2,2,2,21,77,0.0,1028,2,10,90,1,Nyon
