,.model,name,.type,ME,RMSE,MAE,,,,ME,,,
1,my_dcmp_spec,"Nyon, Changins",Test,-0.461895498,1.05890199,0.738699163,,,Station,STL,TSLM,ETS,ARIMA
2,my_dcmp_spec,"Nyon, Château",Test,-0.502863528,1.315644847,1.101754537,,,"Nyon, Changins",-0.5,0.0,1.1,1.1
3,my_dcmp_spec,"Nyon, Débarcadère",Test,5.661595729,7.561142227,6.138933363,,,"Nyon, Chateau",-0.5,0.9,-0.2,-0.2
4,my_dcmp_spec,"Nyon, Gare Nord",Test,2.006566147,3.675279269,2.849193217,,,"Nyon, Debarcadere",5.7,1.7,0.6,0.6
5,my_dcmp_spec,"Nyon, Gare Sud",Test,-6.454411804,7.042300588,6.576384165,,,"Nyon, Gare Nord",2.0,7.5,4.5,4.2
6,my_dcmp_spec,"Nyon, Hôpital",Test,-1.455464776,3.066713293,2.288928143,,,"Nyon, Gare Sud",-6.5,0.7,-5.7,-5.7
7,my_dcmp_spec,"Nyon, Hostel",Test,-2.923180395,3.414627745,2.985424201,,,"Nyon, Hopital",-1.5,-2.2,-2.0,-1.9
8,my_dcmp_spec,"Nyon, La Plage",Test,1.507178958,2.612817799,1.77189665,,,"Nyon, Hostel",-2.9,-2.1,-3.1,-3.1
9,my_dcmp_spec,"Nyon, Petit Perdtemps",Test,-0.991576395,1.386941927,1.099721925,,,"Nyon, La Plage",1.5,0.5,1.5,1.5
10,my_dcmp_spec,"Nyon, Piscine du Cossy",Test,-0.234013053,1.994971516,1.571937104,,,"Nyon, Petit Perdtemps",-1.0,-0.4,-1.1,-1.1
11,my_dcmp_spec,"Nyon, Place de Savoie",Test,-1.731281695,2.59802007,2.266441237,,,"Nyon, Piscine du Cossy",-0.2,-4.2,-1.3,-1.2
12,my_dcmp_spec,"Nyon, Stade de Colovray",Test,1.792122335,2.202195017,1.813646652,,,"Nyon, Place de Savoie",-1.7,-1.5,-1.4,-1.4
13,my_dcmp_spec,"Nyon, Triangle de l'Etraz",Test,-1.916904964,2.77756586,2.362038878,,,"Nyon, Stade de Colovray",1.8,1.5,1.3,1.3
14,TSLM,"Nyon, Changins",Test,-0.039238392,1.871023593,1.546065273,,,"Nyon, Triangle de l'Etraz",-1.9,-1.6,-2.8,-2.8
15,TSLM,"Nyon, Château",Test,0.915683069,1.626409609,1.258926895,,,,,,,
16,TSLM,"Nyon, Débarcadère",Test,1.735266036,5.597374592,4.850157005,,,,,,,
17,TSLM,"Nyon, Gare Nord",Test,7.484002118,8.767594691,7.539011719,,,,,,,
18,TSLM,"Nyon, Gare Sud",Test,0.732353378,3.217720839,2.347591898,,,,,,,
19,TSLM,"Nyon, Hôpital",Test,-2.21487449,3.519778572,2.969750234,,,,,,,
20,TSLM,"Nyon, Hostel",Test,-2.093256309,2.620739847,2.239276604,,,,,,,
21,TSLM,"Nyon, La Plage",Test,0.541463738,2.34394362,1.815354633,,,,,,,
22,TSLM,"Nyon, Petit Perdtemps",Test,-0.358635199,0.910577786,0.788093267,,,,,,,
23,TSLM,"Nyon, Piscine du Cossy",Test,-4.195361103,4.939591786,4.360570991,,,,,,,
24,TSLM,"Nyon, Place de Savoie",Test,-1.47236041,2.247633667,1.958065601,,,,,,,
25,TSLM,"Nyon, Stade de Colovray",Test,1.515746268,2.144170691,1.796656755,,,,,,,
26,TSLM,"Nyon, Triangle de l'Etraz",Test,-1.619093841,2.657559216,2.180665806,,,,,,,
27,SimpleETS,"Nyon, Changins",Test,1.096913743,2.187152566,1.098516052,,,,,,,
28,SimpleETS,"Nyon, Château",Test,-0.152827966,0.88188742,0.706324044,,,,,,,
29,SimpleETS,"Nyon, Débarcadère",Test,0.593217398,5.06720425,4.280898227,,,,,,,
30,SimpleETS,"Nyon, Gare Nord",Test,4.48162549,5.819771524,4.632387577,,,,,,,
31,SimpleETS,"Nyon, Gare Sud",Test,-5.661865604,6.359845308,5.670555832,,,,,,,
32,SimpleETS,"Nyon, Hôpital",Test,-2.024312014,3.098225676,2.378516706,,,,,,,
33,SimpleETS,"Nyon, Hostel",Test,-3.143948116,3.528924576,3.144016743,,,,,,,
34,SimpleETS,"Nyon, La Plage",Test,1.499684323,2.703736109,1.787419185,,,,,,,
35,SimpleETS,"Nyon, Petit Perdtemps",Test,-1.123519161,1.395116681,1.135075969,,,,,,,
36,SimpleETS,"Nyon, Piscine du Cossy",Test,-1.270588215,2.576335542,2.15767655,,,,,,,
37,SimpleETS,"Nyon, Place de Savoie",Test,-1.375538773,2.280987627,2.004796802,,,,,,,
38,SimpleETS,"Nyon, Stade de Colovray",Test,1.322502913,1.628863819,1.326223471,,,,,,,
39,SimpleETS,"Nyon, Triangle de l'Etraz",Test,-2.797316366,3.402061647,2.918143219,,,,,,,
40,ARIMA(TotalBikes),"Nyon, Changins",Test,1.091666667,2.184541651,1.091666667,,,,,,,
41,ARIMA(TotalBikes),"Nyon, Château",Test,-0.1789879,0.886815457,0.719107328,,,,,,,
42,ARIMA(TotalBikes),"Nyon, Débarcadère",Test,0.577104187,5.065478384,4.277835246,,,,,,,
