Station,Date,.mean,Upper 90
"Nyon, Changins",24/05/2022 09:10,4.0,4.8
"Nyon, Changins",24/05/2022 09:20,3.7,4.6
"Nyon, Changins",24/05/2022 09:30,4.8,5.8
"Nyon, Changins",24/05/2022 09:40,4.1,5.2
"Nyon, Changins",24/05/2022 09:50,5.2,6.5
"Nyon, Changins",24/05/2022 10:00,7.0,8.4
"Nyon, Changins",24/05/2022 10:10,7.0,8.5
"Nyon, Changins",24/05/2022 10:20,7.2,8.7
"Nyon, Changins",24/05/2022 10:30,7.1,8.7
"Nyon, Changins",24/05/2022 10:40,5.7,7.4
"Nyon, Changins",24/05/2022 10:50,6.5,8.2
"Nyon, Changins",24/05/2022 11:00,5.9,7.8
"Nyon, Changins",24/05/2022 11:10,6.3,8.2
"Nyon, Changins",24/05/2022 11:20,6.4,8.4
"Nyon, Changins",24/05/2022 11:30,6.7,8.7
"Nyon, Changins",24/05/2022 11:40,6.9,9.0
"Nyon, Changins",24/05/2022 11:50,7.4,9.5
"Nyon, Changins",24/05/2022 12:00,6.9,9.2
"Nyon, Changins",24/05/2022 12:10,6.3,8.5
"Nyon, Changins",24/05/2022 12:20,6.3,8.6
"Nyon, Changins",24/05/2022 12:30,5.7,8.1
"Nyon, Changins",24/05/2022 12:40,6.1,8.6
"Nyon, Changins",24/05/2022 12:50,5.8,8.3
"Nyon, Changins",24/05/2022 13:00,5.7,8.2
"Nyon, Changins",24/05/2022 13:10,5.4,8.0
"Nyon, Changins",24/05/2022 13:20,6.1,8.8
"Nyon, Changins",24/05/2022 13:30,7.2,9.8
"Nyon, Changins",24/05/2022 13:40,7.4,10.1
"Nyon, Changins",24/05/2022 13:50,6.9,9.7
"Nyon, Changins",24/05/2022 14:00,6.9,9.8
"Nyon, Changins",24/05/2022 14:10,7.3,10.2
"Nyon, Changins",24/05/2022 14:20,7.3,10.3
"Nyon, Changins",24/05/2022 14:30,7.5,10.5
"Nyon, Changins",24/05/2022 14:40,7.5,10.5
"Nyon, Changins",24/05/2022 14:50,7.1,10.2
"Nyon, Changins",24/05/2022 15:00,6.7,9.8
"Nyon, Changins",24/05/2022 15:10,6.8,9.9
"Nyon, Changins",24/05/2022 15:20,5.2,8.4
"Nyon, Changins",24/05/2022 15:30,6.7,9.9
"Nyon, Changins",24/05/2022 15:40,4.6,7.9
"Nyon, Changins",24/05/2022 15:50,4.4,7.7
"Nyon, Changins",24/05/2022 16:00,4.7,8.0
"Nyon, Changins",24/05/2022 16:10,4.8,8.1
"Nyon, Changins",24/05/2022 16:20,4.8,8.2
"Nyon, Changins",24/05/2022 16:30,4.2,7.7
"Nyon, Changins",24/05/2022 16:40,2.9,6.4
"Nyon, Changins",24/05/2022 16:50,2.8,6.3
"Nyon, Changins",24/05/2022 17:00,2.4,5.9
"Nyon, Changins",24/05/2022 17:10,2.4,6.0
"Nyon, Changins",24/05/2022 17:20,2.1,5.7
"Nyon, Changins",24/05/2022 17:30,1.9,5.6
"Nyon, Changins",24/05/2022 17:40,1.7,5.3
"Nyon, Changins",24/05/2022 17:50,1.7,5.4
"Nyon, Changins",24/05/2022 18:00,1.8,5.6
"Nyon, Changins",24/05/2022 18:10,1.9,5.7
"Nyon, Changins",24/05/2022 18:20,1.6,5.4
"Nyon, Changins",24/05/2022 18:30,1.6,5.4
"Nyon, Changins",24/05/2022 18:40,1.4,5.2
"Nyon, Changins",24/05/2022 18:50,1.4,5.3
"Nyon, Changins",24/05/2022 19:00,1.3,5.2
"Nyon, Changins",24/05/2022 19:10,1.5,5.5
"Nyon, Changins",24/05/2022 19:20,1.4,5.4
"Nyon, Changins",24/05/2022 19:30,1.5,5.5
"Nyon, Changins",24/05/2022 19:40,1.4,5.5
"Nyon, Changins",24/05/2022 19:50,1.5,5.6
"Nyon, Changins",24/05/2022 20:00,1.4,5.6
"Nyon, Changins",24/05/2022 20:10,1.5,5.7
"Nyon, Changins",24/05/2022 20:20,1.5,5.7
"Nyon, Changins",24/05/2022 20:30,1.5,5.8
"Nyon, Changins",24/05/2022 20:40,1.4,5.7
"Nyon, Changins",24/05/2022 20:50,1.4,5.7
"Nyon, Changins",24/05/2022 21:00,1.3,5.7
"Nyon, Changins",24/05/2022 21:10,1.4,5.8
"Nyon, Changins",24/05/2022 21:20,1.2,5.6
"Nyon, Changins",24/05/2022 21:30,1.1,5.5
"Nyon, Changins",24/05/2022 21:40,1.0,5.5
"Nyon, Changins",24/05/2022 21:50,1.0,5.5
"Nyon, Changins",24/05/2022 22:00,1.0,5.5
"Nyon, Changins",24/05/2022 22:10,1.0,5.5
"Nyon, Changins",24/05/2022 22:20,1.0,5.6
"Nyon, Changins",24/05/2022 22:30,1.0,5.6
"Nyon, Changins",24/05/2022 22:40,0.8,5.5
"Nyon, Changins",24/05/2022 22:50,0.8,5.4
"Nyon, Changins",24/05/2022 23:00,0.9,5.5
"Nyon, Changins",24/05/2022 23:10,1.0,5.7
"Nyon, Changins",24/05/2022 23:20,1.0,5.8
"Nyon, Changins",24/05/2022 23:30,1.2,5.9
"Nyon, Changins",24/05/2022 23:40,1.1,5.9
"Nyon, Changins",24/05/2022 23:50,1.3,6.1
"Nyon, Changins",25/05/2022 00:00,1.2,6.0
"Nyon, Changins",25/05/2022 00:10,1.3,6.1
"Nyon, Changins",25/05/2022 00:20,1.3,6.2
"Nyon, Changins",25/05/2022 00:30,1.4,6.3
"Nyon, Changins",25/05/2022 00:40,1.3,6.2
"Nyon, Changins",25/05/2022 00:50,1.3,6.3
"Nyon, Changins",25/05/2022 01:00,1.3,6.3
"Nyon, Changins",25/05/2022 01:10,1.3,6.4
"Nyon, Changins",25/05/2022 01:20,1.4,6.5
"Nyon, Changins",25/05/2022 01:30,1.5,6.6
"Nyon, Changins",25/05/2022 01:40,1.4,6.5
"Nyon, Changins",25/05/2022 01:50,1.4,6.5
"Nyon, Changins",25/05/2022 02:00,1.3,6.5
"Nyon, Changins",25/05/2022 02:10,1.3,6.5
"Nyon, Changins",25/05/2022 02:20,1.4,6.6
"Nyon, Changins",25/05/2022 02:30,1.5,6.7
"Nyon, Changins",25/05/2022 02:40,1.3,6.6
"Nyon, Changins",25/05/2022 02:50,1.3,6.6
"Nyon, Changins",25/05/2022 03:00,1.3,6.6
"Nyon, Changins",25/05/2022 03:10,1.3,6.6
"Nyon, Changins",25/05/2022 03:20,1.4,6.7
"Nyon, Changins",25/05/2022 03:30,1.5,6.9
"Nyon, Changins",25/05/2022 03:40,1.3,6.7
"Nyon, Changins",25/05/2022 03:50,1.3,6.7
"Nyon, Changins",25/05/2022 04:00,1.2,6.7
"Nyon, Changins",25/05/2022 04:10,1.2,6.6
"Nyon, Changins",25/05/2022 04:20,1.3,6.8
"Nyon, Changins",25/05/2022 04:30,1.4,6.9
"Nyon, Changins",25/05/2022 04:40,1.2,6.8
"Nyon, Changins",25/05/2022 04:50,1.3,6.8
"Nyon, Changins",25/05/2022 05:00,1.2,6.8
"Nyon, Changins",25/05/2022 05:10,1.1,6.7
"Nyon, Changins",25/05/2022 05:20,1.3,6.9
"Nyon, Changins",25/05/2022 05:30,1.4,7.1
"Nyon, Changins",25/05/2022 05:40,1.2,6.9
"Nyon, Changins",25/05/2022 05:50,1.2,6.9
"Nyon, Changins",25/05/2022 06:00,1.2,6.9
"Nyon, Changins",25/05/2022 06:10,1.1,6.8
