date_time,name,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
10/05/2022 12:00,"Nyon, Changins",18,7,0,11.6,4,63,2:06 PM,3:54 AM,6:08 AM,8:55 PM,8,17,17,17,8,17,54,0,1022,17,10,232,5,Nyon
10/05/2022 13:00,"Nyon, Changins",18,7,0,11.6,4,63,2:06 PM,3:54 AM,6:08 AM,8:55 PM,8,17,17,17,8,17,52,0,1021,17,10,234,5,Nyon
10/05/2022 14:00,"Nyon, Changins",18,7,0,11.6,4,63,2:06 PM,3:54 AM,6:08 AM,8:55 PM,7,18,18,18,9,17,51,0,1021,18,10,236,6,Nyon
10/05/2022 15:00,"Nyon, Changins",18,7,0,11.6,4,63,2:06 PM,3:54 AM,6:08 AM,8:55 PM,7,18,18,18,9,16,49,0,1020,18,10,239,6,Nyon
10/05/2022 16:00,"Nyon, Changins",18,7,0,11.6,4,63,2:06 PM,3:54 AM,6:08 AM,8:55 PM,8,17,17,17,9,16,55,0,1020,17,10,250,5,Nyon
10/05/2022 17:00,"Nyon, Changins",18,7,0,11.6,4,63,2:06 PM,3:54 AM,6:08 AM,8:55 PM,9,17,17,17,10,16,62,0,1020,17,10,261,5,Nyon
10/05/2022 18:00,"Nyon, Changins",18,7,0,11.6,4,63,2:06 PM,3:54 AM,6:08 AM,8:55 PM,10,16,16,16,10,16,68,0,1020,16,10,272,5,Nyon
10/05/2022 19:00,"Nyon, Changins",18,7,0,11.6,4,63,2:06 PM,3:54 AM,6:08 AM,8:55 PM,9,14,14,14,7,27,70,0,1021,14,10,287,3,Nyon
10/05/2022 20:00,"Nyon, Changins",18,7,0,11.6,4,63,2:06 PM,3:54 AM,6:08 AM,8:55 PM,8,13,13,13,4,37,72,0,1021,13,10,302,2,Nyon
10/05/2022 21:00,"Nyon, Changins",18,7,0,11.6,4,63,2:06 PM,3:54 AM,6:08 AM,8:55 PM,7,11,11,11,1,48,75,0,1022,11,10,318,1,Nyon
10/05/2022 22:00,"Nyon, Changins",18,7,0,11.6,4,63,2:06 PM,3:54 AM,6:08 AM,8:55 PM,6,10,10,10,1,48,74,0,1021,10,10,291,1,Nyon
10/05/2022 23:00,"Nyon, Changins",18,7,0,11.6,4,63,2:06 PM,3:54 AM,6:08 AM,8:55 PM,5,10,10,10,1,48,74,0,1021,10,10,265,1,Nyon
11/05/2022 00:00,"Nyon, Changins",21,9,0,11.6,5,70,3:17 PM,4:15 AM,6:07 AM,8:57 PM,5,9,9,9,1,48,74,0,1021,9,10,239,1,Nyon
11/05/2022 01:00,"Nyon, Changins",21,9,0,11.6,5,70,3:17 PM,4:15 AM,6:07 AM,8:57 PM,5,9,9,9,3,42,75,0,1021,9,10,229,1,Nyon
11/05/2022 02:00,"Nyon, Changins",21,9,0,11.6,5,70,3:17 PM,4:15 AM,6:07 AM,8:57 PM,5,9,9,9,4,36,76,0,1021,9,10,219,2,Nyon
11/05/2022 03:00,"Nyon, Changins",21,9,0,11.6,5,70,3:17 PM,4:15 AM,6:07 AM,8:57 PM,5,9,9,9,5,30,77,0,1020,9,10,209,3,Nyon
11/05/2022 04:00,"Nyon, Changins",21,9,0,11.6,5,70,3:17 PM,4:15 AM,6:07 AM,8:57 PM,5,9,9,9,5,22,78,0,1020,9,10,200,3,Nyon
11/05/2022 05:00,"Nyon, Changins",21,9,0,11.6,5,70,3:17 PM,4:15 AM,6:07 AM,8:57 PM,5,9,9,9,5,14,79,0,1020,9,10,192,3,Nyon
11/05/2022 06:00,"Nyon, Changins",21,9,0,11.6,5,70,3:17 PM,4:15 AM,6:07 AM,8:57 PM,5,9,9,9,5,6,80,0,1020,9,10,183,3,Nyon
11/05/2022 07:00,"Nyon, Changins",21,9,0,11.6,5,70,3:17 PM,4:15 AM,6:07 AM,8:57 PM,6,11,11,11,9,6,73,0,1020,11,10,188,5,Nyon
11/05/2022 08:00,"Nyon, Changins",21,9,0,11.6,5,70,3:17 PM,4:15 AM,6:07 AM,8:57 PM,7,13,13,13,13,6,67,0,1019,13,10,193,7,Nyon
11/05/2022 09:00,"Nyon, Changins",21,9,0,11.6,5,70,3:17 PM,4:15 AM,6:07 AM,8:57 PM,7,15,15,15,17,7,60,0,1019,15,10,198,9,Nyon
11/05/2022 10:00,"Nyon, Changins",21,9,0,11.6,5,70,3:17 PM,4:15 AM,6:07 AM,8:57 PM,8,17,17,17,19,8,56,0,1019,17,10,202,11,Nyon
11/05/2022 11:00,"Nyon, Changins",21,9,0,11.6,5,70,3:17 PM,4:15 AM,6:07 AM,8:57 PM,8,18,18,18,21,9,52,0,1018,18,10,205,13,Nyon
